Lake,Experiment,Treatment,Enclosure,community,ID,mean_J,mean_s,mean_ENS_D,final_stab,initial_stab,rate_change_ort,rate_change_oti,total_impact,mean_biomass,initial_zoop_body_size,mean_TP,mean_TN,mean_DOC,mean_PAR,mean_Temp,mean_Chla,mean_TN_TP_ratio,mean_DN_TP_ratio
Bolmen,Spring,C,7,phyto,Bolmen_Spring_C_7_phyto,0.6714421281523495,54.833333333333336,7.956238808412588,NA,NA,NA,NA,NA,5212550.48086535,NA,14.135,0.34686666666666666,10.265,200.5,17.25,1.667295,0.02462248013342956,0.014421426534400705
Bolmen,Spring,C,7,zoopl,Bolmen_Spring_C_7_zoopl,0.5188482257045115,9.5,2.67876717137345,NA,NA,NA,NA,NA,31.647325389500516,0.54473961029485,14.135,0.34686666666666666,10.265,200.5,17.25,1.667295,0.02462248013342956,0.014421426534400705
Bolmen,Spring,F,11,bact,Bolmen_Spring_F_11_bact,0.6801029162192265,57.416666666666664,7.897299735175281,-0.454083274523261,-0.214273346288926,-0.266011443456808,-0.0164163821467487,10.8695447860798,NA,NA,14.344999999999999,0.29925,9.373999999999999,265.3333333333333,17.316666666666666,1.95744,0.02078078004761474,0.012644622745802529
Bolmen,Spring,F,11,phyto,Bolmen_Spring_F_11_phyto,0.76380986731155,56.333333333333336,11.559934137314858,-0.176507902493426,-0.167322761625127,-0.33307553753975,-0.0506317911126247,9.14133650364636,5796887.9813097855,NA,14.344999999999999,0.29925,9.373999999999999,265.3333333333333,17.316666666666666,1.95744,0.02078078004761474,0.012644622745802529
Bolmen,Spring,F,11,zoopl,Bolmen_Spring_F_11_zoopl,0.5605092067124272,8.833333333333334,3.2581118188876017,-0.590777883757567,-0.362752833983587,-0.14396455791545,-0.258018415847783,19.9392865370738,20.741599256490936,0.605276529142228,14.344999999999999,0.29925,9.373999999999999,265.3333333333333,17.316666666666666,1.95744,0.02078078004761474,0.012644622745802529
Bolmen,Spring,F,13,bact,Bolmen_Spring_F_13_bact,0.6592668775506104,63.25,8.883043592335499,-0.0343129480348934,-0.134648332117975,0.240323042103215,-0.00748986476267112,5.20921488217972,NA,NA,16.451666666666668,0.34208333333333335,10.085,182.83333333333334,17.27166666666667,2.26305,0.02193502933721547,0.014216396550347631
Bolmen,Spring,F,13,phyto,Bolmen_Spring_F_13_phyto,0.757915907972399,70.66666666666667,13.932395395636165,-0.176507902493426,-0.145211472623104,-0.0286897336559934,-0.0693694227029287,5.97151314322469,6462726.417425199,NA,16.451666666666668,0.34208333333333335,10.085,182.83333333333334,17.27166666666667,2.26305,0.02193502933721547,0.014216396550347631
Bolmen,Spring,F,13,zoopl,Bolmen_Spring_F_13_zoopl,0.48516659383415117,7.5,2.5544730531012183,-1.3690806821173,-1.76985248965086,0.0388962191761933,-0.326309860764063,26.9637555369914,20.179566030837734,0.563886729282265,16.451666666666668,0.34208333333333335,10.085,182.83333333333334,17.27166666666667,2.26305,0.02193502933721547,0.014216396550347631
Bolmen,Spring,F,2,bact,Bolmen_Spring_F_2_bact,0.6539612829098731,54.04347826086956,7.923836367009739,-0.132924105156466,-0.263606546040533,0.205852796356679,-0.0222197612396467,9.85874763515069,NA,NA,18.088333333333335,0.41635,9.821,193,17.096666666666668,2.278515,0.023730961210408852,0.017059296552688622
Bolmen,Spring,F,2,phyto,Bolmen_Spring_F_2_phyto,0.7134156526362406,54.166666666666664,8.894637241312946,-0.216096837871577,-0.219054535428043,0.278286398534004,-0.226330539687612,12.4589591699415,4245583.714768385,NA,18.088333333333335,0.41635,9.821,193,17.096666666666668,2.278515,0.023730961210408852,0.017059296552688622
Bolmen,Spring,F,2,zoopl,Bolmen_Spring_F_2_zoopl,0.4992626054497488,8.5,2.6302452354485815,-0.165249374442842,-0.482195990176179,0.276608320842485,-0.0768196308383332,8.50712384009855,31.668687800498063,0.494120812361924,18.088333333333335,0.41635,9.821,193,17.096666666666668,2.278515,0.023730961210408852,0.017059296552688622
Bolmen,Spring,F,8,bact,Bolmen_Spring_F_8_bact,0.6670074295648829,54.166666666666664,7.66206805482697,-0.150749945897776,-0.32475411825991,0.220154652106934,-0.0187495994731687,4.484376263383,NA,NA,15.085,0.36053999999999997,9.511,423.3333333333333,17.25,1.88634,0.02410572264409104,0.011847776511110493
Bolmen,Spring,F,8,phyto,Bolmen_Spring_F_8_phyto,0.7297511821365563,52,9.794110792874081,-0.174328131111742,-0.0575735945712189,-0.201853348377734,-0.0862762295692472,5.11259802714244,6056824.253160588,NA,15.085,0.36053999999999997,9.511,423.3333333333333,17.25,1.88634,0.02410572264409104,0.011847776511110493
Bolmen,Spring,F,8,zoopl,Bolmen_Spring_F_8_zoopl,0.5365584688511547,8.333333333333334,2.8092418709552,-0.582953991171161,-0.603553243042354,-0.127358334336976,-0.327587925658603,19.5012078985617,23.58156156138638,0.508047016700152,15.085,0.36053999999999997,9.511,423.3333333333333,17.25,1.88634,0.02410572264409104,0.011847776511110493
Bolmen,Spring,FS,15,bact,Bolmen_Spring_FS_15_bact,0.6980672884371251,56.541666666666664,8.831501129777772,-0.243515423721476,-0.120049532696822,-0.250263973855354,-0.0300332800552705,12.648653826514,NA,NA,14.965,0.34655,9.539000000000001,167.5,17.4,2.823255,0.02335284636407538,0.013293701943212175
Bolmen,Spring,FS,15,phyto,Bolmen_Spring_FS_15_phyto,0.7609133246354982,54.833333333333336,11.662355149387576,-0.67295662241885,-0.441500218720144,-0.225147855057056,-0.230118666992295,16.8535945221077,6878751.410447239,NA,14.965,0.34655,9.539000000000001,167.5,17.4,2.823255,0.02335284636407538,0.013293701943212175
Bolmen,Spring,FS,15,zoopl,Bolmen_Spring_FS_15_zoopl,0.584261932724878,8.166666666666666,3.0123550993306365,-0.55955263313495,-0.824499048869784,0.167689570808916,-0.356082706415408,23.1200921914501,23.375008876104605,0.539036119948493,14.965,0.34655,9.539000000000001,167.5,17.4,2.823255,0.02335284636407538,0.013293701943212175
Bolmen,Spring,FS,4,bact,Bolmen_Spring_FS_4_bact,0.6435660621801964,56.333333333333336,9.121284198697548,-0.0543708189045462,-0.498222498516979,0.352065516071313,-0.0153980490067149,7.20051375770149,NA,NA,17.26,0.36291666666666667,9.9805,163.83333333333334,17.291666666666668,2.517525,0.021880360784655026,0.012882241880116187
Bolmen,Spring,FS,4,phyto,Bolmen_Spring_FS_4_phyto,0.718921831343953,57.666666666666664,9.862936215446723,-1.2227657546701,-0.244359128893156,-0.801103967447564,-0.395633152388254,22.0552967011894,35378338.19189005,NA,17.26,0.36291666666666667,9.9805,163.83333333333334,17.291666666666668,2.517525,0.021880360784655026,0.012882241880116187
Bolmen,Spring,FS,4,zoopl,Bolmen_Spring_FS_4_zoopl,0.42693984383861466,7.833333333333333,2.0720720641085966,-0.197752084745867,-1.21685816861652,0.61728747406082,-0.0255569655355251,14.9856933853973,28.56622102124287,0.52371872980934,17.26,0.36291666666666667,9.9805,163.83333333333334,17.291666666666668,2.517525,0.021880360784655026,0.012882241880116187
Bolmen,Spring,FS,6,bact,Bolmen_Spring_FS_6_bact,0.6404318631932716,57.416666666666664,8.570984195148863,-0.0253100246414219,-0.296066892094991,0.288767906083074,-0.0167654356124458,3.72538908980283,NA,NA,16.23,0.3597166666666667,9.6935,179.33333333333334,17.296666666666667,3.34815,0.022679711869650496,0.012740642161652235
Bolmen,Spring,FS,6,phyto,Bolmen_Spring_FS_6_phyto,0.7273961260752808,60,11.263540899639557,-1.33008311843287,-0.496788645878225,-0.708400171089727,-0.503612067457428,28.6698666241062,NA,NA,16.23,0.3597166666666667,9.6935,179.33333333333334,17.296666666666667,3.34815,0.022679711869650496,0.012740642161652235
Bolmen,Spring,FS,6,zoopl,Bolmen_Spring_FS_6_zoopl,0.4478261922656535,8,2.4357421923693283,-0.443208499194838,-0.968769428710135,0.234034517680967,-0.0286413366825147,16.8949119895953,21.71989240847372,0.500697823006523,16.23,0.3597166666666667,9.6935,179.33333333333334,17.296666666666667,3.34815,0.022679711869650496,0.012740642161652235
Bolmen,Spring,FS,9,bact,Bolmen_Spring_FS_9_bact,0.678060861979964,64.08333333333333,9.29338128295802,-0.0673928873479958,-0.190105395607017,0.0640560774258026,-0.0513003670182745,8.63675183041336,NA,NA,16.505,0.35186666666666666,9.229,125,17.3,2.9609550000000002,0.021468252178098467,0.011295455620182531
Bolmen,Spring,FS,9,phyto,Bolmen_Spring_FS_9_phyto,0.7546848816769248,68.83333333333333,13.682699703425353,-0.454404447398154,-0.314533881081286,-0.179686881847481,-0.224054333405176,18.4502115264825,9355875.786868343,NA,16.505,0.35186666666666666,9.229,125,17.3,2.9609550000000002,0.021468252178098467,0.011295455620182531
Bolmen,Spring,FS,9,zoopl,Bolmen_Spring_FS_9_zoopl,0.5334487039463638,7.333333333333333,2.7769084907615,-0.64691184726338,-1.00693464354535,0.358452523969224,-0.224893839372568,18.5673426525487,23.635531713105088,0.50837410577888,16.505,0.35186666666666666,9.229,125,17.3,2.9609550000000002,0.021468252178098467,0.011295455620182531
Bolmen,Spring,S,12,bact,Bolmen_Spring_S_12_bact,0.6570624386704623,61.333333333333336,6.986618657838379,-0.0294697644165987,-0.205983516872592,0.107207910290179,-0.126133415307533,5.72413061806547,NA,NA,13.708333333333334,0.34475,9.7315,144,17.363333333333333,2.143245,0.025248264423490544,0.013632398783193354
Bolmen,Spring,S,12,phyto,Bolmen_Spring_S_12_phyto,0.6859271418555908,62.333333333333336,8.640576925363165,-0.174328131111742,-0.37302744516891,0.465776942663861,-0.0480985459996206,12.1765943955883,2905297.316114828,NA,13.708333333333334,0.34475,9.7315,144,17.363333333333333,2.143245,0.025248264423490544,0.013632398783193354
Bolmen,Spring,S,12,zoopl,Bolmen_Spring_S_12_zoopl,0.5653766440750398,9.166666666666666,2.843793026763467,-0.47657601931845,-0.0913975798244705,-0.420181327347763,-0.233327625472301,9.33177589132789,38.86141846553437,0.414647603433318,13.708333333333334,0.34475,9.7315,144,17.363333333333333,2.143245,0.025248264423490544,0.013632398783193354
Bolmen,Spring,S,14,bact,Bolmen_Spring_S_14_bact,0.6830229711935378,58.708333333333336,7.521321281129152,-0.0205304892685715,-0.42171542043107,-0.0569455122685388,-0.205830113207352,6.54374917032344,NA,NA,14.993333333333332,0.33504999999999996,9.4245,119.5,17.383333333333333,2.522265,0.02232057303623871,0.011552432468308223
Bolmen,Spring,S,14,phyto,Bolmen_Spring_S_14_phyto,0.7070079595850244,57,9.474858171539216,-0.217568172673136,-0.196013580003791,0.045067796825125,-0.0143916932111061,9.24729036938531,2799015.438497548,NA,14.993333333333332,0.33504999999999996,9.4245,119.5,17.383333333333333,2.522265,0.02232057303623871,0.011552432468308223
Bolmen,Spring,S,14,zoopl,Bolmen_Spring_S_14_zoopl,0.6151101337172773,9.5,3.5021565295115233,-0.076676266534676,-0.281148871751297,0.157445489524893,-0.189464456174149,5.6716090402855,37.40609510165837,0.471762389632378,14.993333333333332,0.33504999999999996,9.4245,119.5,17.383333333333333,2.522265,0.02232057303623871,0.011552432468308223
Bolmen,Spring,S,3,bact,Bolmen_Spring_S_3_bact,0.6345642078290231,57.541666666666664,6.7656212144966,-0.206884662441359,-0.424561054613588,0.14671386082014,-0.0586407724525813,11.8532076318768,NA,NA,16.12333333333333,0.39631666666666665,9.509,182.5,17.21666666666667,1.99068,0.024739078609282122,0.013820743269578831
Bolmen,Spring,S,3,phyto,Bolmen_Spring_S_3_phyto,0.6879617002024498,58.666666666666664,9.42388399843269,-0.212877663134096,-0.37302744516891,0.0344957696560744,-0.108540733409657,11.5676738179992,2906033.4964424144,NA,16.12333333333333,0.39631666666666665,9.509,182.5,17.21666666666667,1.99068,0.024739078609282122,0.013820743269578831
Bolmen,Spring,S,3,zoopl,Bolmen_Spring_S_3_zoopl,0.5066362933308145,8.333333333333334,2.8738995928738285,-0.698795481160183,-0.414994847447851,1.01997113144478,-0.243009531430632,10.5243399749172,46.26014706597512,0.566780615310866,16.12333333333333,0.39631666666666665,9.509,182.5,17.21666666666667,1.99068,0.024739078609282122,0.013820743269578831
Bolmen,Spring,S,5,bact,Bolmen_Spring_S_5_bact,0.6476483933401831,59.375,7.938741721355939,-0.190592028531682,-0.726185336267138,0.296270751344132,-0.0516346378516195,9.0920529071719,NA,NA,15.816666666666666,0.35835,9.5765,105.83333333333333,17.266666666666666,2.6504849999999998,0.022967653798902955,0.010739332767695467
Bolmen,Spring,S,5,phyto,Bolmen_Spring_S_5_phyto,0.6932246202274773,62.166666666666664,10.107198604017286,-0.647112403588255,-0.0837901077202206,0.314454018237952,-0.304808139864173,15.760188669841,3250697.6984616052,NA,15.816666666666666,0.35835,9.5765,105.83333333333333,17.266666666666666,2.6504849999999998,0.022967653798902955,0.010739332767695467
Bolmen,Spring,S,5,zoopl,Bolmen_Spring_S_5_zoopl,0.5064636891981344,8.666666666666666,3.0560775572838534,-0.54621104750299,-0.35031336030518,0.367040728181694,-0.543051509182123,11.0466843907724,40.7749709320143,0.368877470955017,15.816666666666666,0.35835,9.5765,105.83333333333333,17.266666666666666,2.6504849999999998,0.022967653798902955,0.010739332767695467
Bolmen,Summer,C,1,bact,Bolmen_Summer_C_1_bact,0.7444846030447481,46.791666666666664,8.169764428872293,NA,NA,NA,NA,NA,NA,NA,14.058333333333334,0.3439333333333333,8.884,141.16666666666666,16.816666666666666,2.067405,0.024574712679508504,0.011890047909407665
Bolmen,Summer,C,1,phyto,Bolmen_Summer_C_1_phyto,0.787239717113705,30.666666666666668,7.674209403127021,NA,NA,NA,NA,NA,NA,NA,14.058333333333334,0.3439333333333333,8.884,141.16666666666666,16.816666666666666,2.067405,0.024574712679508504,0.011890047909407665
Bolmen,Summer,C,1,zoopl,Bolmen_Summer_C_1_zoopl,0.6824111159499499,9.833333333333334,4.057635755169678,NA,NA,NA,NA,NA,40.20367045644373,0.588220882324738,14.058333333333334,0.3439333333333333,8.884,141.16666666666666,16.816666666666666,2.067405,0.024574712679508504,0.011890047909407665
Bolmen,Summer,C,10,bact,Bolmen_Summer_C_10_bact,0.7499840203410965,53.583333333333336,11.74484008091542,NA,NA,NA,NA,NA,NA,NA,12.381666666666666,0.28845,8.436,130.16666666666666,17.016666666666666,2.76993,0.02353451740828472,0.010207380520266183
Bolmen,Summer,C,10,phyto,Bolmen_Summer_C_10_phyto,0.8278170472496164,40.333333333333336,16.46023868510374,NA,NA,NA,NA,NA,3459431.290899403,NA,12.381666666666666,0.28845,8.436,130.16666666666666,17.016666666666666,2.76993,0.02353451740828472,0.010207380520266183
Bolmen,Summer,C,10,zoopl,Bolmen_Summer_C_10_zoopl,0.6525068097935015,10.166666666666666,3.9906236236305035,NA,NA,NA,NA,NA,28.86386497658747,0.703036130380548,12.381666666666666,0.28845,8.436,130.16666666666666,17.016666666666666,2.76993,0.02353451740828472,0.010207380520266183
Bolmen,Summer,C,16,bact,Bolmen_Summer_C_16_bact,0.7433707369403912,52.625,8.844056231934495,NA,NA,NA,NA,NA,NA,NA,10.706666666666667,0.28378333333333333,8.386,141.66666666666666,17.05,1.252125,0.02664830948186328,0.010783032812773045
Bolmen,Summer,C,16,phyto,Bolmen_Summer_C_16_phyto,0.8046315607673018,39.333333333333336,12.023417087807706,NA,NA,NA,NA,NA,6271536.939412582,NA,10.706666666666667,0.28378333333333333,8.386,141.66666666666666,17.05,1.252125,0.02664830948186328,0.010783032812773045
Bolmen,Summer,C,16,zoopl,Bolmen_Summer_C_16_zoopl,0.6912662061940164,9.166666666666666,4.20372206956255,NA,NA,NA,NA,NA,21.3564111830596,0.591010401087488,10.706666666666667,0.28378333333333333,8.386,141.66666666666666,17.05,1.252125,0.02664830948186328,0.010783032812773045
Bolmen,Summer,C,7,bact,Bolmen_Summer_C_7_bact,0.7179743414594109,50.791666666666664,9.60097593210941,NA,NA,NA,NA,NA,NA,NA,12.183333333333334,0.2928,8.338000000000001,186,17,2.32431,0.024145508310043234,0.010700682473215544
Bolmen,Summer,C,7,phyto,Bolmen_Summer_C_7_phyto,0.7961588202018326,40.5,12.957433590288248,NA,NA,NA,NA,NA,6839658.372242829,NA,12.183333333333334,0.2928,8.338000000000001,186,17,2.32431,0.024145508310043234,0.010700682473215544
Bolmen,Summer,C,7,zoopl,Bolmen_Summer_C_7_zoopl,0.585776080632937,8.833333333333334,3.07216308552513,NA,NA,NA,NA,NA,25.82312352445389,0.626602591606423,12.183333333333334,0.2928,8.338000000000001,186,17,2.32431,0.024145508310043234,0.010700682473215544
Bolmen,Summer,F,11,bact,Bolmen_Summer_F_11_bact,0.756385381998923,55,13.619061475283244,-0.159172227292837,-0.163251440823411,0.159035806342074,-0.104796489924253,3.07307345755535,NA,NA,12.793333333333333,0.2857166666666667,8.4395,151.33333333333334,16.95,2.925045,0.022659406775733724,0.011725246195165621
Bolmen,Summer,F,11,phyto,Bolmen_Summer_F_11_phyto,0.8510503165410886,53.333333333333336,19.890557399010987,-1.0355740123257,-0.078286119712631,-0.676939526066379,-0.30227125942827,13.8662753977495,43471322.57056281,NA,12.793333333333333,0.2857166666666667,8.4395,151.33333333333334,16.95,2.925045,0.022659406775733724,0.011725246195165621
Bolmen,Summer,F,11,zoopl,Bolmen_Summer_F_11_zoopl,0.611255041433601,9,3.6308789334695932,-1.02016495994648,-0.516675116045418,-1.26045527617165,-0.391370962891121,16.7169438208296,27.40369870607603,0.455441285591797,12.793333333333333,0.2857166666666667,8.4395,151.33333333333334,16.95,2.925045,0.022659406775733724,0.011725246195165621
Bolmen,Summer,F,13,bact,Bolmen_Summer_F_13_bact,0.7660506048846366,56.625,12.99536089937024,-0.0416418476232837,-0.167657812702031,0.148908201207596,-2.03559282451299e-4,2.89881473219998,NA,NA,14.13,0.32053333333333334,8.435,124,17.016666666666666,4.118985,0.023084156194492066,0.009271321040264447
Bolmen,Summer,F,13,phyto,Bolmen_Summer_F_13_phyto,0.8443071067674874,42.666666666666664,15.8977366915421,-1.67581839717574,-0.164284354703644,-0.946929702275678,-0.286693809948825,22.0319015049642,56392067.95888001,NA,14.13,0.32053333333333334,8.435,124,17.016666666666666,4.118985,0.023084156194492066,0.009271321040264447
Bolmen,Summer,F,13,zoopl,Bolmen_Summer_F_13_zoopl,0.641563205360408,10.166666666666666,3.778039636841622,-0.0337029455134018,-0.233582628946143,0.110336969328379,-0.0279483777978008,2.45089990366763,25.617426092338654,0.514007557893867,14.13,0.32053333333333334,8.435,124,17.016666666666666,4.118985,0.023084156194492066,0.009271321040264447
Bolmen,Summer,F,2,bact,Bolmen_Summer_F_2_bact,0.7583426760655521,61.916666666666664,14.820253218096576,-0.370832562247886,-0.280240946757093,-0.158822111721236,-0.125129740048674,7.76899153315835,NA,NA,14.19,0.3454,8.8605,152.16666666666666,16.866666666666667,3.813255,0.02431611830689895,0.010291828201831442
Bolmen,Summer,F,2,phyto,Bolmen_Summer_F_2_phyto,0.8142609982848968,54.666666666666664,16.634631720633394,-1.64006642548218,-0.015809643062399,-1.1539736091014,-0.353927047381985,21.8654095785806,28497678.52919272,NA,14.19,0.3454,8.8605,152.16666666666666,16.866666666666667,3.813255,0.02431611830689895,0.010291828201831442
Bolmen,Summer,F,2,zoopl,Bolmen_Summer_F_2_zoopl,0.642131185565745,10,4.246493571770305,-0.794431130016977,-0.469619347555444,-0.757776788761914,-0.296667408474655,15.4938825682917,22.509092896807925,0.49863543926049,14.19,0.3454,8.8605,152.16666666666666,16.866666666666667,3.813255,0.02431611830689895,0.010291828201831442
Bolmen,Summer,F,8,bact,Bolmen_Summer_F_8_bact,0.7126686466474356,52.708333333333336,11.71135234876973,-0.97023188153559,-0.141984327056067,-0.493007905932736,-0.180059272243478,10.4342535799665,NA,NA,13.113333333333333,0.33335000000000004,8.5155,291,16.983333333333334,3.645225,0.02553098408218245,0.01091229445622206
Bolmen,Summer,F,8,phyto,Bolmen_Summer_F_8_phyto,0.7865421089237972,42.166666666666664,11.45997926121485,-1.2342104620188,-0.216704987155759,-0.633131827368825,-0.212175029383843,18.7017483510935,33988888.601907894,NA,13.113333333333333,0.33335000000000004,8.5155,291,16.983333333333334,3.645225,0.02553098408218245,0.01091229445622206
Bolmen,Summer,F,8,zoopl,Bolmen_Summer_F_8_zoopl,0.5409669072471157,8.333333333333334,3.064736688634187,-1.46719741812486,-0.868506952653674,-0.627790848345829,-0.126709269606934,24.2399462601423,15.707336312263068,0.540277783208896,13.113333333333333,0.33335000000000004,8.5155,291,16.983333333333334,3.645225,0.02553098408218245,0.01091229445622206
Bolmen,Summer,FS,15,bact,Bolmen_Summer_FS_15_bact,0.7463243415263444,59.166666666666664,12.150951860448425,-0.153919560684312,-0.462233068529125,0.0903296693647988,-0.00619059870464157,3.68063620236086,NA,NA,14.355,0.32561666666666667,7.762499999999999,85.33333333333333,17.105,4.330095,0.02266989230332089,0.007403903018210166
Bolmen,Summer,FS,15,phyto,Bolmen_Summer_FS_15_phyto,0.730811297062631,48.166666666666664,11.629457183671827,-1.84647125909308,-0.512363078954962,-0.811683365612895,-0.333485917597639,19.6704587540936,37301634.119464695,NA,14.355,0.32561666666666667,7.762499999999999,85.33333333333333,17.105,4.330095,0.02266989230332089,0.007403903018210166
Bolmen,Summer,FS,15,zoopl,Bolmen_Summer_FS_15_zoopl,0.7035455809141093,9.333333333333334,4.4690893509586616,-0.348815673602029,-0.874764703403585,0.914948322518041,-0.236999079320497,14.5239573007151,18.66369656706341,0.401953974504054,14.355,0.32561666666666667,7.762499999999999,85.33333333333333,17.105,4.330095,0.02266989230332089,0.007403903018210166
Bolmen,Summer,FS,4,bact,Bolmen_Summer_FS_4_bact,0.7856512078625049,59.291666666666664,13.891541202341289,-0.28812325356378,-0.0270176073197859,-0.22540202644096,-0.179736610747952,3.96910771086467,NA,NA,14.086666666666666,0.33740000000000003,8.0375,82.5,17.105,3.2841,0.024177301790213,0.007959826394824798
Bolmen,Summer,FS,4,phyto,Bolmen_Summer_FS_4_phyto,0.8577228554229152,51.333333333333336,18.605317376358016,-0.930288801753277,-0.164478627960383,-0.508574188166824,-0.200095364363989,15.7695361571873,11452733.391608048,NA,14.086666666666666,0.33740000000000003,8.0375,82.5,17.105,3.2841,0.024177301790213,0.007959826394824798
Bolmen,Summer,FS,4,zoopl,Bolmen_Summer_FS_4_zoopl,0.6988992703107102,10,4.239415589725317,-0.763808354783324,-0.572779501762687,-0.758078487491453,-0.0630904874261531,17.4299752174731,23.1381483973155,0.554660459260463,14.086666666666666,0.33740000000000003,8.0375,82.5,17.105,3.2841,0.024177301790213,0.007959826394824798
Bolmen,Summer,FS,6,bact,Bolmen_Summer_FS_6_bact,0.6663111154092553,59.041666666666664,13.096075322699205,-0.138451573898572,-0.333240948338022,0.178210924587184,-0.154378927798621,6.21920002884331,NA,NA,13.515,0.3101,8.6885,79.33333333333333,17.09166666666667,3.887025,0.02301526055360617,0.010878508754516219
Bolmen,Summer,FS,6,phyto,Bolmen_Summer_FS_6_phyto,0.820676198277457,48,14.175915177307632,-1.23775329277778,-0.0508759229612591,-0.71698246563604,-0.310234663173728,21.1348368976083,16185452.128503684,NA,13.515,0.3101,8.6885,79.33333333333333,17.09166666666667,3.887025,0.02301526055360617,0.010878508754516219
Bolmen,Summer,FS,6,zoopl,Bolmen_Summer_FS_6_zoopl,0.3544810706886142,6.833333333333333,1.8181211508439683,-6.25916812161951,-0.466074223506723,-4.31018143273471,-1.03260552866603,59.2370012007919,18.745903761880605,1.00830681516165,13.515,0.3101,8.6885,79.33333333333333,17.09166666666667,3.887025,0.02301526055360617,0.010878508754516219
Bolmen,Summer,FS,9,bact,Bolmen_Summer_FS_9_bact,0.7377384894984217,57,12.648853725311216,-0.256017430707322,-0.252085324040612,0.0177783840725946,-0.170725123651719,7.93768315212118,NA,NA,15.333333333333334,0.32576666666666665,8.3215,79.66666666666667,17.05,5.30244,0.021274144040428933,0.007215762273901808
Bolmen,Summer,FS,9,phyto,Bolmen_Summer_FS_9_phyto,0.8437949499207282,44.666666666666664,16.1130146686873,-1.77163752362491,-0.015809643062399,-1.07528060106792,-0.334566713301707,30.2074954488322,32047585.045541555,NA,15.333333333333334,0.32576666666666665,8.3215,79.66666666666667,17.05,5.30244,0.021274144040428933,0.007215762273901808
Bolmen,Summer,FS,9,zoopl,Bolmen_Summer_FS_9_zoopl,0.5733900134995025,9.666666666666666,3.2277329075659016,-0.0210549188131451,-0.651308779135928,0.271383040218738,-0.212114205081732,8.61557939582917,26.20967575804791,0.568994134662123,15.333333333333334,0.32576666666666665,8.3215,79.66666666666667,17.05,5.30244,0.021274144040428933,0.007215762273901808
